"Firma
BWFIRM";"Fabrica
BWWKNR";Maquina;"Bezeichnung
MAMABZ";NumerodaPeca;"Bezeichnung
TEBEZ1";"Bezeichnung
TEBEZ2";"OrdemProdução
BWAUNR";"Fase
BWAGNR";"Nr.Usuário
BWPENR";Data_ini;"BaseTempo
OAZTBA";Hora_ini;Data_fim;Hora_fim;QtdeProduzidaBoa;"QtdeProduzidaRuim
BWAUMG";"MinsPrevistos
BASEP";MinsProdReal;"GraudeTempo
CONTA";"TempoPreparação
OARUZT";"Tp.Lanc.
BWBWAR";"PortadorCusto
TEKOTR";"CentroCusto
MAKOST";"PesoLiquido
TEGWNE";"PeloBruto
TEGWBR";"Multi-Homem
AGMPAN";"Multi_Máquina
AGMEMA";"QtdPessoas/Máquina
AGANPR";"TE
AGSTZT";TMAGMAZT;"MinMaq
minmaqprev";Total;"MengenbasisGEWICHT
TEMBGW";"Horas/Turnotm
MASTMA";"Unterbrechungsgrund
BWUGRU";"DataIniciodaFase
OASTTE";"TurnodeTrabalho
BWC001";Turno
8;001;170;*ROSQ.DEPATRONA3R;911200010;BUCHASOLDAM6x1,0;;376.611;20;817709;14/11/2025;3;05:15:55;14/11/2025;13:28:30;6.500,00;0,00;541,00;493;1,10;115,00;FZ;1800;38001;0,0110;0,0130;1;5;1,00;8,33;6,67;433,00;6500,00;1;8,20;03;08/11/2025;1;PrimeiroTurno
8;001;170;*ROSQ.DEPATRONA3R;911200010;BUCHASOLDAM6x1,0;;376.611;20;803464;14/11/2025;3;13:53:28;14/11/2025;21:48:00;6.000,00;0,00;499,00;475;1,05;115,00;FZ;1800;38001;0,0110;0,0130;1;5;1,00;8,33;6,67;400,00;6000,00;1;8,20;03;08/11/2025;2;SegundoTurno
8;001;171;ROSQ.DEPATRONA3R;111900583;PORCASEXM10x1,5;ORGANOMETALICO;342.271;40;804104;14/11/2025;3;05:14:57;14/11/2025;11:31:55;4.379,00;0,00;438.556,00;377;1163,28;115,00;FZ;1801;38001;0,0230;0,0480;1;2;1,00;15,00;12,00;525,00;4379,00;1;15,00;40;15/11/2025;1;PrimeiroTurno
8;001;173;ROSQ.DEPATRONA2E;112001410A;PORCASEXFLM14x110;OLEADO;367.539;30;817709;14/11/2025;3;05:16:27;14/11/2025;13:29:56;3.100,00;0,00;456,00;493;0,92;135,00;FZ;1801;38001;1,1000;1,4400;1;5;1,00;14,71;11,76;364,00;3100,00;3;15,00;03;03/11/2025;1;PrimeiroTurno
8;001;173;ROSQ.DEPATRONA2E;112001410A;PORCASEXFLM14x110;OLEADO;367.539;30;803464;14/11/2025;3;13:53:06;14/11/2025;21:48:35;3.000,00;0,00;441,00;475;0,93;135,00;FZ;1801;38001;1,1000;1,4400;1;5;1,00;14,71;11,76;352,00;3000,00;3;15,00;03;03/11/2025;2;SegundoTurno
8;001;175;ROSQ.DEPATRONA2E;111600813;PORCAREDSOM6X110;ZINCO;348.225;30;817709;14/11/2025;3;05:16:50;14/11/2025;13:32:09;6.400,00;0,00;444,00;496;0,90;135,00;FZ;1801;38001;0,7600;0,8000;1;5;1,00;6,94;5,56;355,00;6400,00;3;15,00;03;18/11/2025;1;PrimeiroTurno
8;001;175;ROSQ.DEPATRONA2E;111600813;PORCAREDSOM6X110;ZINCO;348.225;30;803464;14/11/2025;3;13:52:15;14/11/2025;21:49:12;5.500,00;0,00;381,00;477;0,80;135,00;FZ;1801;38001;0,7600;0,8000;1;5;1,00;6,94;5,56;305,00;5500,00;3;15,00;03;18/11/2025;2;SegundoTurno
8;001;176;ROSQ.DEPATRONA2E;112001410A;PORCASEXFLM14x110;OLEADO;367.539;30;817709;14/11/2025;3;05:17:13;14/11/2025;13:31:30;3.400,00;0,00;500,00;494;1,01;135,00;FZ;1801;38001;1,1000;1,4400;1;5;1,00;14,71;11,76;399,00;3400,00;3;15,00;03;03/11/2025;1;PrimeiroTurno
8;001;176;ROSQ.DEPATRONA2E;112001410A;PORCASEXFLM14x110;OLEADO;367.539;30;803464;14/11/2025;3;13:52:39;14/11/2025;21:48:56;3.200,00;0,00;470,00;476;0,99;135,00;FZ;1801;38001;1,1000;1,4400;1;5;1,00;14,71;11,76;376,00;3200,00;3;15,00;03;03/11/2025;2;SegundoTurno
8;001;179;ROSQ.DEPATRONA2E;112000028;PORCARETM6x18;ZINCO;340.370;30;817709;14/11/2025;3;05:17:33;14/11/2025;13:32:51;5.500,00;0,00;529,00;495;1,07;135,00;FZ;1801;38001;1,2700;1,3300;1;5;1,00;9,62;7,69;422,00;5500,00;3;15,00;03;04/11/2025;1;PrimeiroTurno
8;001;179;ROSQ.DEPATRONA2E;112000028;PORCARETM6x18;ZINCO;340.370;30;803464;14/11/2025;3;13:52:24;14/11/2025;21:47:10;5.300,00;0,00;509,00;475;1,07;135,00;FZ;1801;38001;1,2700;1,3300;1;5;1,00;9,62;7,69;407,00;5300,00;3;15,00;03;04/11/2025;2;SegundoTurno
8;001;180;ROSQ.DEPATRONA2E;111600468A;PORCASEXFLM12x1,258;ZINCO;350.319;20;817709;14/11/2025;3;05:18:08;14/11/2025;13:30:41;6.400,00;0,00;781,00;492;1,59;135,00;FZ;1801;38001;1,7100;2,0300;1;5;1,00;12,21;9,77;625,00;6400,00;3;15,00;03;10/11/2025;1;PrimeiroTurno
8;001;180;ROSQ.DEPATRONA2E;111600468A;PORCASEXFLM12x1,258;ZINCO;350.319;20;803464;14/11/2025;3;13:52:54;14/11/2025;21:47:33;4.500,00;0,00;549,00;475;1,16;135,00;FZ;1801;38001;1,7100;2,0300;1;5;1,00;12,21;9,77;439,00;4500,00;3;15,00;03;10/11/2025;2;SegundoTurno
8;001;181;ROSQ.DEPATRONA2E;111200782;ANELDESOLDAM14x1,5OLEA;DA;341.352;40;817709;14/11/2025;3;05:18:33;14/11/2025;13:29:09;3.000,00;0,00;375,00;491;0,76;135,00;FZ;1800;38001;1,6500;1,7000;1;4;1,00;12,50;10,00;300,00;3000,00;3;15,00;03;08/01/2026;1;PrimeiroTurno
8;001;181;ROSQ.DEPATRONA2E;111200782;ANELDESOLDAM14x1,5OLEA;DA;341.352;40;803464;14/11/2025;3;13:53:18;14/11/2025;21:48:18;2.900,00;0,00;362,00;475;0,76;135,00;FZ;1800;38001;1,6500;1,7000;1;4;1,00;12,50;10,00;290,00;2900,00;3;15,00;03;08/01/2026;2;SegundoTurno
8;001;198;FTM17B;112700017;PORCASEXFLM8x1,258;ORGANOMETALICO;346.529;20;811552;14/11/2025;3;06:24:14;14/11/2025;13:08:14;23.160,00;0,00;386,00;404;0,96;70,00;FZ;1801;38001;0,7400;0,8300;1;4;1,00;1,67;1,33;308,00;23160,00;3;21,00;56;29/11/2025;1;PrimeiroTurno
8;001;198;FTM17B;112001312;PORCAM8x1,2510ZNNI;TRIVPRATA;374.743;30;804176;14/11/2025;3;19:10:53;14/11/2025;21:43:14;9.720,00;0,00;162,00;153;1,06;70,00;FZ;1801;38001;0,0070;0,0080;1;4;1,00;1,67;1,33;129,00;9720,00;1;21,00;03;30/01/2026;2;SegundoTurno
8;001;198;FTM17B;112001312;PORCAM8x1,2510ZNNI;TRIVPRATA;374.743;30;803756;14/11/2025;3;17:47:40;14/11/2025;19:10:40;0,00;0,00;0,00;83;0,00;70,00;RZ;1801;38001;0,0070;0,0080;1;4;1,00;1,67;1,33;0,00;0,00;1;21,00;RE;30/01/2026;2;SegundoTurno
8;001;200;FTM13B(CELULA830-2011);112001503;PORCASEXFLM6x18;ZINCO;341.391;30;811552;14/11/2025;1;06:22:32;14/11/2025;13:21:50;20.892,00;0,00;0,00;419;0,00;0,00;FZ;1801;38001;0,4000;0,4500;0;0;1,00;0,00;0,00;0,00;20892,00;3;21,00;03;19/11/2025;1;PrimeiroTurno
8;001;200;FTM13B(CELULA830-2011);112001503;PORCASEXFLM6x18;ZINCO;341.391;30;804176;14/11/2025;1;14:12:23;14/11/2025;21:47:59;36.558,00;0,00;0,00;455;0,00;0,00;FZ;1801;38001;0,4000;0,4500;0;0;1,00;0,00;0,00;0,00;36558,00;3;21,00;03;19/11/2025;2;SegundoTurno
8;001;202;FTM17B;112001530;PORCASEXFLNYARM1010;ZINCO;346.257;30;804111;14/11/2025;3;10:50:00;14/11/2025;13:30:00;2.000,00;0,00;30,00;160;0,19;120,00;FZ;1801;38001;0,0380;0,0300;1;4;1,00;1,50;1,20;24,00;2000,00;1;21,00;03;03/12/2025;1;PrimeiroTurno
8;001;202;FTM17B;112001530;PORCASEXFLNYARM1010;ZINCO;346.257;30;804176;14/11/2025;3;14:12:00;14/11/2025;21:45:00;7.048,00;0,00;105,00;453;0,23;120,00;FZ;1801;38001;0,0380;0,0300;1;4;1,00;1,50;1,20;84,00;7048,00;1;21,00;03;03/12/2025;2;SegundoTurno
8;001;202;FTM17B;112001530;PORCASEXFLNYARM1010;ZINCO;346.257;30;804111;14/11/2025;3;07:17:20;14/11/2025;10:36:19;0,00;0,00;0,00;199;0,00;120,00;RZ;1801;38001;0,0380;0,0300;1;4;1,00;1,50;1,20;0,00;0,00;1;21,00;RE;03/12/2025;1;PrimeiroTurno
8;001;203;FTM24B;112700120;PORCASEXFLM12x1,51;ORGANOMETALICO;349.788;30;811552;14/11/2025;3;05:24:26;14/11/2025;13:32:25;15.867,00;0,00;236,00;488;0,48;120,00;FZ;1801;38001;2,0550;2,4940;1;4;1,00;1,49;1,19;188,00;15867,00;3;21,00;03;14/11/2025;1;PrimeiroTurno
8;001;203;FTM24B;112700120;PORCASEXFLM12x1,51;ORGANOMETALICO;349.788;30;804176;14/11/2025;3;14:13:01;14/11/2025;21:18:43;16.927,00;0,00;252,00;425;0,59;120,00;FZ;1801;38001;2,0550;2,4940;1;4;1,00;1,49;1,19;201,00;16927,00;3;21,00;03;14/11/2025;2;SegundoTurno
8;001;204;FTM24B;111900599;PORCAFLANGEM12x1,510;ZINCONIQUELTRIV8-11UM;371.865;30;804176;14/11/2025;3;14:13:34;14/11/2025;20:14:51;5.918,00;0,00;108,00;361;0,30;120,00;FZ;1801;38001;0,0460;0,0510;1;4;1,00;1,84;1,47;86,00;5918,00;1;21,00;03;31/10/2025;2;SegundoTurno
8;001;204;FTM24B;111900599;PORCAFLANGEM12x1,510;ZINCONIQUELTRIV8-11UM;371.865;30;804176;14/11/2025;3;20:15:24;14/11/2025;21:49:55;1.092,00;0,00;20,00;94;0,21;120,00;FZ;1801;38001;0,0460;0,0510;1;4;1,00;1,84;1,47;16,00;1092,00;1;21,00;03;31/10/2025;2;SegundoTurno
8;001;206;SHIMAZUS4;112001076;PORCASEXFLNYM6x18;ZINCO;361.461;30;803974;14/11/2025;3;05:20:06;14/11/2025;13:29:06;35.000,00;0,00;455,00;489;0,93;70,00;FZ;1801;38001;0,4220;0,4600;1;4;1,00;1,30;1,04;364,00;35000,00;3;8,75;03;14/11/2025;1;PrimeiroTurno
8;001;206;SHIMAZUS4;112001076;PORCASEXFLNYM6x18;ZINCO;361.461;30;804165;14/11/2025;3;13:56:12;14/11/2025;21:49:05;31.071,00;0,00;403,00;473;0,85;70,00;FZ;1801;38001;0,4220;0,4600;1;4;1,00;1,30;1,04;323,00;31071,00;3;8,75;03;14/11/2025;2;SegundoTurno
8;001;211;SHIMAZUS4;112000036;PORCASEXM10x1,25;ZINCO;367.519;30;804165;14/11/2025;3;17:23:01;14/11/2025;21:48:23;11.005,00;0,00;222,00;265;0,84;45,00;FZ;1801;38001;0,5000;0,5400;1;4;1,00;2,02;1,61;177,00;11005,00;3;8,75;03;11/11/2025;2;SegundoTurno
8;001;211;SHIMAZUS4;112000036;PORCASEXM10x1,25;ZINCO;367.519;30;804103;14/11/2025;3;16:32:25;14/11/2025;17:22:53;0,00;0,00;0,00;50;0,00;45,00;RZ;1801;38001;0,5000;0,5400;1;4;1,00;2,02;1,61;0,00;0,00;3;8,75;RE;11/11/2025;2;SegundoTurno
8;001;212;SHIMAZUS4;119900671;BKPORCADIN934M8x1,258;;335.865;30;803974;14/11/2025;3;05:20:22;14/11/2025;13:28:31;28.000,00;5,00;406,00;488;0,83;45,00;FZ;1845;38001;0,4800;0,5620;1;4;1,00;1,45;1,16;324,00;28005,00;3;8,75;03;27/10/2025;1;PrimeiroTurno
8;001;212;SHIMAZUS4;119900671;BKPORCADIN934M8x1,258;;335.865;30;804165;14/11/2025;3;13:42:00;14/11/2025;19:10:00;22.208,00;0,00;322,00;328;0,98;45,00;FZ;1845;38001;0,4800;0,5620;1;4;1,00;1,45;1,16;257,00;22208,00;3;8,75;03;27/10/2025;2;SegundoTurno
8;001;212;SHIMAZUS4;112000235;PORCASEXM8x1,25;ZINCO;379.866;30;804103;14/11/2025;3;20:40:00;14/11/2025;21:45:00;0,00;0,00;0,00;65;0,00;45,00;RZ;1801;38001;0,4000;0,4600;1;4;1,00;1,49;1,19;0,00;0,00;3;8,75;RE;29/11/2025;2;SegundoTurno
8;001;217;FTM17B;111900306;PORCASEXFLM8x1,258;ZINCO;380.163;30;811552;14/11/2025;3;06:24:36;14/11/2025;07:07:54;6.688,00;0,00;86,00;43;2,00;120,00;FZ;1801;38001;0,9500;1,0200;1;4;1,00;1,29;1,03;68,00;6688,00;3;21,00;03;21/11/2025;1;PrimeiroTurno
8;001;217;FTM17B;111900306;PORCASEXFLM8x1,258;ZINCO;380.163;30;811552;14/11/2025;3;07:08:10;14/11/2025;13:33:43;13.548,00;0,00;174,00;385;0,45;120,00;FZ;1801;38001;0,9500;1,0200;1;4;1,00;1,29;1,03;139,00;13548,00;3;21,00;03;21/11/2025;1;PrimeiroTurno
8;001;217;FTM17B;111900306;PORCASEXFLM8x1,258;ZINCO;380.163;30;804176;14/11/2025;3;14:12:35;14/11/2025;21:27:17;26.574,00;0,00;342,00;435;0,79;120,00;FZ;1801;38001;0,9500;1,0200;1;4;1,00;1,29;1,03;273,00;26574,00;3;21,00;03;21/11/2025;2;SegundoTurno
8;001;222;SHIMAZUS2F;111600440;PORCASEXFLM5x,88;ZINCO;367.509;30;803974;14/11/2025;3;05:19:48;14/11/2025;13:22:17;9.020,00;0,00;130,00;483;0,27;70,00;FZ;1801;38001;0,2000;0,2200;1;4;1,00;1,45;1,16;104,00;9020,00;3;15,00;03;04/11/2025;1;PrimeiroTurno
8;001;222;SHIMAZUS2F;111600440;PORCASEXFLM5x,88;ZINCO;367.509;30;804165;14/11/2025;3;13:57:04;14/11/2025;21:47:25;12.189,00;0,00;176,00;470;0,37;70,00;FZ;1801;38001;0,2000;0,2200;1;4;1,00;1,45;1,16;141,00;12189,00;3;15,00;03;04/11/2025;2;SegundoTurno
8;001;229;THERMAG;110300010;PORCASEXTEM10x1x1,58;COBRE;342.500;30;803974;14/11/2025;3;05:19:21;14/11/2025;13:27:25;3.000,00;0,00;468,00;488;0,96;70,00;FZ;1801;38001;0,6850;0,9280;1;4;1,00;15,63;12,50;375,00;3000,00;3;8,75;03;15/11/2025;1;PrimeiroTurno
8;001;229;THERMAG;110300010;PORCASEXTEM10x1x1,58;COBRE;342.500;30;804165;14/11/2025;3;13:54:57;14/11/2025;15:25:09;914,00;0,00;142,00;91;1,56;70,00;FZ;1801;38001;0,6850;0,9280;1;4;1,00;15,63;12,50;114,00;914,00;3;8,75;03;15/11/2025;2;SegundoTurno
8;001;229;THERMAG;110300010;PORCASEXTEM10x1x1,58;COBRE;342.500;30;804165;14/11/2025;3;15:25:19;14/11/2025;21:49:45;2.500,00;0,00;390,00;384;1,02;70,00;FZ;1801;38001;0,6850;0,9280;1;4;1,00;15,63;12,50;312,00;2500,00;3;8,75;03;15/11/2025;2;SegundoTurno
8;001;234;SHIMAZUS4F;111200790;PORCAQUASOM6x18;OLEADO;356.134;30;803974;14/11/2025;3;06:34:54;14/11/2025;13:26:49;31.000,00;0,00;483,00;412;1,17;70,00;FZ;1800;38001;0,2500;0,2800;1;4;1,00;1,56;1,25;387,00;31000,00;3;8,75;03;04/12/2025;1;PrimeiroTurno
8;001;234;SHIMAZUS4F;111200790;PORCAQUASOM6x18;OLEADO;356.134;30;804165;14/11/2025;3;13:55:15;14/11/2025;21:47:42;35.100,00;0,00;547,00;472;1,16;70,00;FZ;1800;38001;0,2500;0,2800;1;4;1,00;1,56;1,25;438,00;35100,00;3;8,75;03;04/12/2025;2;SegundoTurno
8;001;235;SHIMAZUS4F;111900305;PORCASEXFLSTM6x18;ZINCO;349.460;30;803974;14/11/2025;3;05:19:36;14/11/2025;13:24:03;36.000,00;13,00;345,00;485;0,71;120,00;FZ;1801;38001;0,3750;0,4220;1;4;1,00;0,96;0,77;277,00;36013,00;3;8,75;03;27/11/2025;1;PrimeiroTurno
8;001;235;SHIMAZUS4F;111900305;PORCASEXFLSTM6x18;ZINCO;349.460;30;804165;14/11/2025;3;13:56:32;14/11/2025;21:49:28;27.450,00;0,00;263,00;473;0,56;120,00;FZ;1801;38001;0,3750;0,4220;1;4;1,00;0,96;0,77;211,00;27450,00;3;8,75;03;27/11/2025;2;SegundoTurno
8;001;239;SHIMAZUS4;111900214;PORCASEXNYM10x1,2510;ZINCO;341.385;30;803974;14/11/2025;3;05:20:56;14/11/2025;13:25:59;12.652,00;20,00;287,00;485;0,59;45,00;FZ;1801;38001;1,2180;1,3640;1;4;1,00;2,27;1,82;230,00;12672,00;3;8,75;03;15/11/2025;1;PrimeiroTurno
8;001;239;SHIMAZUS4;111900214;PORCASEXNYM10x1,2510;ZINCO;341.385;30;804165;14/11/2025;3;13:55:40;14/11/2025;15:09:34;1.778,00;0,00;40,00;74;0,54;45,00;FZ;1801;38001;1,2180;1,3640;1;4;1,00;2,27;1,82;32,00;1778,00;3;8,75;03;15/11/2025;2;SegundoTurno
8;001;239;SHIMAZUS4;111900214;PORCASEXNYM10x1,2510;ZINCO;341.385;30;804165;14/11/2025;3;15:09:42;14/11/2025;21:48:00;14.611,00;0,00;331,00;399;0,83;45,00;FZ;1801;38001;1,2180;1,3640;1;4;1,00;2,27;1,82;265,00;14611,00;3;8,75;03;15/11/2025;2;SegundoTurno
8;001;240;SHIMAZUS4;111600817;PORCAQUASO7/16UNF8;OLEADO;367.922;20;803974;14/11/2025;3;05:21:20;14/11/2025;08:00:14;6.595,00;5,00;164,00;159;1,03;45,00;FZ;1801;38001;0,0167;0,0210;1;4;1,00;2,50;2,00;131,00;6600,00;1;8,75;56;15/11/2025;2;SegundoTurno
8;001;398;*ROSQ.SANSHINGSNT30A4F;112700679;PORCASEXFLNYM16x1,510;ORGANOMETALICO;351.822;30;804113;14/11/2025;3;05:22:02;14/11/2025;06:23:49;3.098,00;0,00;64,00;61;1,05;90,00;FZ;1801;38001;5,0960;6,0140;1;4;1,00;2,08;1,67;51,00;3098,00;3;21,00;03;04/03/2026;1;PrimeiroTurno
8;001;398;*ROSQ.SANSHINGSNT30A4F;112700679;PORCASEXFLNYM16x1,510;ORGANOMETALICO;351.822;30;804113;14/11/2025;3;06:25:06;14/11/2025;08:29:30;6.642,00;0,00;138,00;124;1,11;90,00;FZ;1801;38001;5,0960;6,0140;1;4;1,00;2,08;1,67;110,00;6642,00;3;21,00;03;04/03/2026;1;PrimeiroTurno
8;001;398;*ROSQ.SANSHINGSNT30A4F;112700679;PORCASEXFLNYM16x1,510;ORGANOMETALICO;351.822;30;803158;14/11/2025;3;08:29:45;14/11/2025;08:30:46;0,00;0,00;0,00;1;0,00;90,00;FZ;1801;38001;5,0960;6,0140;1;4;1,00;2,08;1,67;0,00;0,00;3;21,00;03;04/03/2026;1;PrimeiroTurno
8;001;398;*ROSQ.SANSHINGSNT30A4F;112700679;PORCASEXFLNYM16x1,510;ORGANOMETALICO;351.822;30;804113;14/11/2025;3;08:30:59;14/11/2025;09:40:10;3.739,00;0,00;77,00;70;1,10;90,00;FZ;1801;38001;5,0960;6,0140;1;4;1,00;2,08;1,67;62,00;3739,00;3;21,00;56;04/03/2026;1;PrimeiroTurno
8;001;401;ROSQ.SANSHINGSNT24A;112000571;PORCASEXNYM12x1,2510;ZINCO;341.388;30;804113;14/11/2025;3;05:23:56;14/11/2025;07:14:25;12.240,00;0,00;102,00;111;0,92;120,00;FZ;1801;38001;1,7900;2,1400;1;4;1,00;0,84;0,68;83,00;12240,00;3;21,00;25;01/11/2025;1;PrimeiroTurno
8;001;401;ROSQ.SANSHINGSNT24A;112000571;PORCASEXNYM12x1,2510;ZINCO;341.388;30;804113;14/11/2025;3;08:01:21;14/11/2025;10:51:35;22.552,00;0,00;189,00;170;1,11;120,00;FZ;1801;38001;1,7900;2,1400;1;4;1,00;0,84;0,68;153,00;22552,00;3;21,00;03;01/11/2025;1;PrimeiroTurno
8;001;401;ROSQ.SANSHINGSNT24A;112000571;PORCASEXNYM12x1,2510;ZINCO;341.388;30;804113;14/11/2025;3;10:51:46;14/11/2025;13:27:24;10.000,00;0,00;84,00;156;0,54;120,00;FZ;1801;38001;1,7900;2,1400;1;4;1,00;0,84;0,68;68,00;10000,00;3;21,00;03;01/11/2025;1;PrimeiroTurno
8;001;401;ROSQ.SANSHINGSNT24A;112000571;PORCASEXNYM12x1,2510;ZINCO;341.388;30;804110;14/11/2025;3;15:08:00;14/11/2025;17:00:00;12.446,00;0,00;104,00;112;0,93;120,00;FZ;1801;38001;1,7900;2,1400;1;4;1,00;0,84;0,68;84,00;12446,00;3;21,00;03;01/11/2025;2;SegundoTurno
